Question,Answer
Bagaimana cara mengisi Induk SPT pada e-Form?,"Pada Induk SPT, yang harus diisi sebagai berikut:
a. nomor telepon;
b. status kewajiban perpajakan suami-istri pilih salah satu dari status berikut, KK (Kepala
Keluarga), HB (Hidup Berpisah), PH (Pisah Harta dan Penghasilan) dan MT (Manajemen
Terpisah). pilih status yang sesuai dengan kondisi anda;
c. PTKP anda dan isi semua kotak yang berwarna merah;
d. Jika semua kotak berwarna merah sudah terisi klik selesai."
"Bagaimana cara melaporkan SPT e-Form yang sudah diisi dengan lengkap dan cara
mencetak arsip SPT?","Cara mengirimkan SPT e-Form yang sudah diisi lengkap dilakukan dengan cara membuka kode
token/verifikasi yang ada di email Anda (teregistrasi di akun DJP Online).
untuk melaporkan/upload e-Form Anda, maka yang dilakukan sebagai berikut:
a. pastikan PC anda terkoneksi dengan internet masukkan kode verifikasi ke kolom yang
tersedia kemudian klik submit.
b. jika anda ingin menyimpan dokumen sebagai arsip klik gambar printer maka dokumen akan
tersimpan dan akan terdapat watermark “cetakan ini tidak untuk dikirim ke KPP” karena
memang khusus untuk arsip saja.
c. setelah klik submit maka anda akan mendapat email Bukti Penerimaan Elektronik (bukti
bahwa anda telah melaporkan SPT Tahunan PPh Orang Pribadi)"
"Hal-hal apa saja yang wajib diketahui apabila akan menggunakan e-Form sebagai sarana
pelaporan SPT Tahunan?","Dalam layanan e-Form terdapat hal-hal yang wajib diketahui sebagai berikut:
a. Untuk membuka formulir, klik dua kali pada file yang sudah diunduh;
b. Daftar Harta (jika memiliki harta) dan Bukti Potong PPh yang dipotong/dipungut oleh pihak III
wajib diisi;
c. Baris/kolom isian data yang berwarna merah wajib diisi;
d. Pada saat kirim permintaan (unduh e-Form) pastikan token telah terkirim ke email yang
terdaftar di djp online, jika ternyata belum diterima token dapat diminta kembali dengan cara
memilih Tahun Pajak, Jenis SPT, Kode Pembetulan dan memilih ”Hanya Kirim Token”;
e. Token tidak memiliki masa kadaluarsa, sepanjang token belum digunakan untuk jenis SPT
yang telah diunduh;
f. Data Prepopulated/Data Siap Saji (Daftar Harta/Utang/Tanggungan Keluarga) muncul pada
formulir 1770 S Tahun Pajak 2017, hanya jika:
Pelaporan SPT Tahun Pajak sebelumnya menggunakan e-Filing;
Pelaporan SPT Tahun Pajak 2016 dengan kode pembetulan sebelumnya (n-1)
menggunakan e-Form.
g. Anda bisa meng-upload lampiran dalam bentuk pdf bila ada. Khusus untuk SPT LB,
Lampiran wajib diupload;
h. Untuk SPT dengan status Kurang Bayar wajib menginput NTPN."
"Bagaimana tata cara pelaporan SPT Tahunan dengan menggunakan formulir 1770S
melalui e-Filing?","Pelaporan SPT Tahunan dengan menggunakan e-filing untuk formulir 1770S, langkah pertama
adalah login melalui akun DJP Online, kemudian buat SPT baru, selanjutnya tampilannya sebagai
berikut:
Selanjutnya Anda akan masuk ke halaman berikutnya, yakni ""Lampiran II"";
Jika tidak ada tambahan harta lainnya, Anda bisa langsung lanjut ke ""Langkah Berikutnya"",
dengan mengklik salah satu item yang ada, misal B: Harta Pada Akhir Tahun, maka akan
muncul kolom baru ""Langkah Berikutnya"".
Lalu klik ""Langkah Berikutnya""
Selanjutnya masuk ke Lampiran I
Selanjutnya Anda akan masuk ke Lampiran I, isi sesuai petunjuk bila memang memiliki harta
yang harus dilaporkan sesuai ketentuan;
Apabila tidak ada harta lainnya yang wajib dilaporkan, lewati langkah ini dengan mengklik
salah satu item yang ada, misal A: Penghasilan Neto Dalam Negeri Lainnya, maka akan
muncul kolom baru ""Langkah Berikutnya"";
Lalu klik ""Langkah Berikutnya"".
Selanjutnya masuk ke kolom ""Induk SPT”
Selanjutnya isi identitas Anda sesuai dengan status, apakah Tidak Kawin/Kawin
Lalu lanjutkan ke lankah berikutnya dengan mengklik ""Lanjut ke A""
Lakukan Pengisian Setiap Kolom Sesuai dengan kondisi Anda
Isi setiap kolom dengan benar
Lakukan pengisian sesuai petunjuk yang ada, mulai dari Pengisian Netto, Penghasilan Kena
Pajak, PPh Terutang, Kredit Pajak (jika ada), PPh Kurang/Lebih Bayar (jika ada), Angsuran
PPh Pasal 25 Tahun Pajak Berikutnya (jika ada),
Lalu centang pada kolom ""Setuju/Agree"" pada bagian ""Pernyataan""
Klik ""Langkah Berikutnya""
Selanjutnya informasi status SPT yang dikirim ke DJP
Status SPT yang akan dilaporkan/dikirimkan adalah SPT nihil, apabila pengisiannya
menunjukkan Kurang Bayar/Lebih Bayar maka informasi atas SPT akan ditampilkan
Lalu masukkan kode verifikasi di bagian kolom bawah
Dan SPT siap dikirim dengan mengklik kolom ""Kirim SPT""
Terakhir klik kolom ""Selesai"""
Apa saja syarat-syarat penyampaian SPT Tahunan Pembetulan?,"Sesuai Pasal 6 ayat (2) Peraturan Direktur Jenderal Pajak Nomor PER-01/PJ/2016, persyaratan
untuk menyampaikan SPT Pembetulan sebagai berikut:
a. surat pemberitahuan pemeriksaan belum disampaikan kepada Wajib Pajak, wakil, kuasa,
pegawai, atau anggota keluarga yang telah dewasa dari Wajib Pajak;
b. surat pemberitahuan pemeriksaan bukti permulaan belum disampaikan kepada Wajib Pajak,
wakil, kuasa, pegawai, atau anggota keluarga yang telah dewasa dari Wajib Pajak;
c. dalam hal pembetulan menyatakan rugi atau lebih bayar, pembetulan harus disampaikan
paling lama 2 (dua) tahun sebelum daluwarsa penetapan; dan
d. dalam hal Wajib Pajak membetulkan SPT Tahunan yang telah disampaikan karena menerima
surat ketetapan pajak, Surat Keputusan Keberatan, Surat Keputusan Pembetulan, Putusan
Banding, atau Putusan Peninjauan Kembali Tahun Pajak sebelumnya atau beberapa Tahun
Pajak sebelumnya, yang menyatakan rugi fiskal yang berbeda dengan rugi fiskal yang telah
dikompensasikan dalam Surat Pemberitahuan Tahunan yang akan dibetulkan tersebut,
pembetulan disampaikan dalam jangka waktu 3 (tiga) bulan setelah menerima Surat
Ketetapan Pajak, Surat Keputusan Keberatan, Surat Keputusan Pembetulan, Putusan
Banding, atau Putusan Peninjauan Kembali."
"SPT Tahunan yang disampaikan oleh Wajib Pajak dianggap tidak disampaikan ke DJP.
Hal-hal seperti apa saja yang menyebabkan SPT dianggap tidak disampaikan?","Meskipun Wajib Pajak telah menyampaikan SPT Tahunan baik secara fisik langsung ke KPP
maupun melalui jasa pos maupun ekspedisi, terdapat beberapa kondisi bahwa SPT tersebut
dianggap tidak disampaikan (sesuai Pasal 9 PER-01/PJ/2016), apabila terhadap SPT Tahunan
diketahui bahwa:
a. SPT Tahunan tidak ditandatangani oleh Wajib Pajak/Kuasa Wajib Pajak;
b. SPT Tahunan tidak sepenuhnya dilampiri keterangan dan/atau dokumen yang dipersyaratkan
c. SPT Tahunan yang menyatakan lebih bayar disampaikan setelah 3 (tiga) tahun sesudah
berakhirnya bagian Tahun Pajak atau Tahun Pajak, dan Wajib Pajak telah ditegur secara
tertulis; atau
d. SPT Tahunan disampaikan setelah Direktur Jenderal Pajak melakukan pemeriksaan atau
menerbitkan surat ketetapan pajak,
Dalam kondisi demikian pihak DJP (KPP) akan menyampaikan surat pemberitahuan kepada Wajib
Pajak yang menyatakan bahwa SPT Tahunan dianggap tidak disampaikan."
"Apakah Wajib Pajak dapat melakukan penundaan atau perpanjangan Jangka Waktu
Penyampaian SPT Tahunan?","Pada prinsipnya sesuai dengan Pasal 3 ayat (3) Undang-undang Nomor 6 Tahun 1983
sebagaimana telah diubah terakhir dengan Undang-undang Nomor 28 Tahun 2007 (UU KUP),
jangka waktu untuk menyampaikan SPT Tahunan adalah sebagai berikut :
a. untuk SPT Tahunan PPh Wajib Pajak orang pribadi, paling lama 3 (tiga) bulan setelah akhir
Tahun Pajak;
b. untuk SPT Tahunan PPh Wajib Pajak badan, paling lama 4 (empat) bulan setelah akhir
Tahun Pajak.
Penyampaian SPT Tahunan yang melebihi batas waktu di atas akan dikenakan sanksi denda Pasal
7 KUP yaitu sebesar Rp100.000,- untuk SPT Tahunan Orang Pribadi atau Rp1.000.000,- untuk SPT
Tahunan Badan.
Namun sebagaimana diatur dalam:
a. Pasal 3 ayat (4), (5), (5a), UU Nomor 28 TAHUN 2007 (berlaku sejak 1 Januari 2008) tentang
perubahan ketiga atas UU Nomor 6 TAHUN 1983 tentang Ketentuan Umum dan Tata Cara
Perpajakan
b. PMK-152/PMK.03/2009 tentang perubahan atas PMK-181/PMK.03/2007 (Pasal 9 s/d 13)
tentang Bentuk dan Isi Surat Pemberitahuan, serta Tata Cara Pengambilan, Pengisian,
Penandatanganan, dan Penyampaian Surat Pemberitahuan
c. PER-21/PJ./2009 (berlaku sejak 2 Maret 2009) tentang tata cara penyampaian
pemberitahuan perpanjangan SPT tahunan
d. PER-47/PJ./2008 (berlaku sejak 1 Maret 2009) tentang tata cara penyampaian SPT dan
Penyampaian Pemberitahuan Perpanjangan SPT Tahunan Secara Elektronik (e-filing)
Melalui Perusahaan Penyedian Jasa Aplikasi (ASP)
Wajib Pajak dapat memperpanjang penyampaian Surat Pemberitahuan Tahunan Pajak
Penghasilan dengan cara menyampaikan pemberitahuan secara tertulis.
Pemberitahuan di atas harus disertai perhitungan sementara pajak yang terutang dalam satu tahun
pajak.Pemberitahuan ini juga harus dilampiri dengan SSP sebagai bukti pelunasan jika
berdasarkan perhitungan sementara Wajib Pajak SPT nya Kurang Bayar."
Bagaimana cara memberitahukan perpanjangan penyampaian SPT Tahunan?,"Tatacara pemberitahuan perpanjangan penyampaian SPT Tahunan sebagaimana diatur dalam
PMK-152/PMK.03/2009 tentang perubahan atas PMK-181/PMK.03/2007 (Pasal 9 s/d 13) tentang
Bentuk dan Isi Surat Pemberitahuan, serta Tata Cara Pengambilan, Pengisian, Penandatanganan,
dan Penyampaian Surat Pemberitahuan, sebagai berikut:
a. Pemberitahuan Perpanjangan SPT Tahunan dibuat secara tertulis dan disampaikan ke
Kantor Pelayanan Pajak, sebelum batas waktu penyampaian SPT Tahunan berakhir.
b. Pemberitahuan dilampiri dengan perhitungan sementara, laporan keuangan sementara dan
SSP sebagai bukti pelunasan
c. Pemberitahuan Perpanjangan SPT Tahunan wajib ditandatangani oleh Wajib Pajak atau
Kuasa Wajib Pajak
d. Dalam hal Pemberitahuan Perpanjangan SPT Tahunan ditandatangani oleh Kuasa Wajib
Pajak, Pemberitahuan Perpanjangan SPT Tahunan harus dilampiri dengan Surat Kuasa
Khusus.
e. Pemberitahuan disampaikan secara langsung, melalui pos dengan bukti pengiriman surat
atau cara lain melalui jasa ekspedisi atau jasa kurir dengan bukti pengiriman surat, atau
dengan cara e-Filling melalui ASP
f. Penyampaian Pemberitahuan Perpanjangan SPT Tahunan secara langsung diberikan tanda
penerimaan surat dan penyampaian Pemberitahuan Perpanjangan SPT Tahunan secara eFilling melalui ASP diberikan Bukti Penerimaan Elektronik
g. Bukti pengiriman surat melalui pos, jasa ekspedisi atau jasa kurir atau tanda penerimaan
surat serta Bukti Penerimaan Elektronik menjadi bukti penerimaan Pemberitahuan
Perpanjangan SPT Tahunan."
"Sampai kapan batas akhir Penyampaian SPT Tahunan setelah dilakukan Pemberitahuan
Perpanjangan SPT Tahunan?","Perpanjangan jangka waktu penyampaian SPT Tahunan ini adalah untuk paling lama 2 (dua
bulan).Apabila Wajib Pajak tidak menyampaikan SPT Tahunan dalam jangka waktu tersebut, maka
terhadap Wajib Pajak dapat diterbitkan Surat Teguran. Penerbitan Surat Teguran ini akan
memberikan jalan kepada DJP untuk melakukan pemeriksaan pajak atas SPT Tahunan yang tidak
disampaikan juga dalam jangka waktu dalam Surat Teguran."
"Apa yang dilakukan oleh DJP apabila pemberitahuan perpanjangan penyampaian SPT
Tahunan tidak memenuhi syarat?","Apabila Pemberitahuan Perpanjangan SPT Tahunan dianggap bukan Pemberitahuan
Perpanjangan SPT Tahunan, Direktur Jenderal Pajak wajib memberitahukan kepada Wajib
Pajak.Apabila tidak ada pemberitahuan seperti ini maka pemberitahunan perpanjangan
penyampaian SPT Wajib Pajak dianggap memenuhi ketentuan."
"Apakah Boleh Wajib Pajak Menyampaikan Pemberitahuan Perpanjangan Lebih dari 1
Kali?","Dalam hal Wajib Pajak belum siap untuk menyampaikan SPT Tahunan dalam jangka waktu
sebagaimana dimaksud pada Pemberitahuan Perpanjangan Penyampaian SPT Tahunan yang
diajukan sebelumnya, maka Wajib Pajak masih dapat menyampaikan Pemberitahuan
Perpanjangan SPT Tahunan lagi sepanjang tidak melampaui batas waktu 2 (dua) bulan sejak batas
waktu penyampaian SPT Tahunan pasal 3 UU KUP (Pasal 7 PER-21/PJ./2009)"
Bagaimana petunjuk pengisian SPT 1770SS?,"Petunjuk pengisian SPT untuk formulir 1770SS dilampirkan dalam attachment SPT form 1770SS
(/sites/default/files/2019-03/Formulir%20SPT%201770%20SS.pdf)."
Bagaimana petunjuk pengisian SPT 1770S?,"Petunjuk pengisian SPT untuk formulir 1770S dilampirkan dalam attachment SPT form 1770S
(/sites/default/files/2019-03/Petunjuk%20Pengisian%20SPT%201770%20S.pdf)."
Bagaimana petunjuk pengisian SPT 1770?,"Petunjuk pengisian SPT untuk formulir 1770 dilampirkan dalam attachment SPT form 1770
(/sites/default/files/2019-03/Petunjuk%20Pengisian%20SPT%201770.pdf)."
Bagaimana petunjuk pengisian SPT 1771?,"Petunjuk pengisian SPT untuk formulir 1771 dilampirkan dalam attachment SPT form 1771
(/sites/default/files/2019-03/info-pajak/Lampiran%20VIII%20Petunjuk%20Pengisian%201771.pdf)."
